# Residuals   
# Time        	k             	nut           	omega         	p             	Urelx         	Urely         
0             	N/A	N/A	N/A	N/A	N/A
1             	1.000000e+00	N/A	5.098443e-02	1.000000e+00	1.000000e+00	1.000000e+00
2             	4.616643e-01	N/A	9.176235e-02	1.605650e-01	5.844404e-01	7.536939e-01
3             	4.013157e-01	N/A	7.330440e-02	1.683610e-01	3.989155e-01	3.935279e-01
4             	3.285414e-01	N/A	4.252636e-02	1.483652e-01	3.153305e-01	3.590659e-01
5             	2.988557e-01	N/A	2.754199e-02	1.479188e-01	2.511806e-01	2.898774e-01
6             	2.523143e-01	N/A	2.095716e-02	1.470532e-01	2.185552e-01	2.398949e-01
7             	2.203350e-01	N/A	1.831110e-02	1.445776e-01	2.104283e-01	2.085041e-01
8             	2.201348e-01	N/A	1.547316e-02	1.463463e-01	1.720424e-01	1.837265e-01
9             	2.316110e-01	N/A	1.298432e-02	1.535982e-01	1.500346e-01	1.554205e-01
10            	2.387876e-01	N/A	1.213885e-02	1.323259e-01	1.304028e-01	1.416294e-01
11            	2.416540e-01	N/A	1.000865e-02	1.126862e-01	1.209291e-01	1.387603e-01
12            	2.399887e-01	N/A	9.075655e-03	1.027650e-01	1.174644e-01	1.238113e-01
13            	2.028902e-01	N/A	9.504210e-03	1.019034e-01	1.090278e-01	1.106398e-01
14            	1.835545e-01	N/A	9.550120e-03	1.017389e-01	1.030629e-01	1.007129e-01
15            	1.761690e-01	N/A	9.645211e-03	9.964267e-02	9.141903e-02	9.516167e-02
16            	1.886263e-01	N/A	7.712585e-03	1.015752e-01	7.745890e-02	9.453959e-02
17            	1.832249e-01	N/A	8.022933e-03	9.747718e-02	7.366592e-02	9.010427e-02
18            	1.789568e-01	N/A	7.523948e-03	9.736150e-02	7.181136e-02	7.975215e-02
19            	1.760813e-01	N/A	7.879621e-03	9.995967e-02	7.161491e-02	7.163609e-02
20            	1.725780e-01	N/A	7.969098e-03	9.843235e-02	6.768167e-02	6.421265e-02
21            	1.672095e-01	N/A	8.019660e-03	9.325436e-02	6.146610e-02	6.116534e-02
22            	1.638738e-01	N/A	7.426188e-03	8.947754e-02	5.626782e-02	5.882576e-02
23            	1.534025e-01	N/A	6.867720e-03	8.215047e-02	5.237531e-02	5.789102e-02
24            	1.785205e-01	N/A	7.004547e-03	8.175556e-02	4.899338e-02	5.545604e-02
25            	1.492544e-01	N/A	6.466449e-03	7.043476e-02	4.651729e-02	5.272153e-02
26            	1.652685e-01	N/A	5.402280e-03	6.849033e-02	4.629167e-02	4.701339e-02
27            	1.637112e-01	N/A	5.473246e-03	6.391630e-02	4.343908e-02	4.087142e-02
28            	1.576721e-01	N/A	5.140955e-03	5.950201e-02	4.011741e-02	3.810493e-02
29            	1.573729e-01	N/A	5.087001e-03	5.470155e-02	3.740962e-02	3.627526e-02
30            	1.556816e-01	N/A	5.614356e-03	5.231526e-02	3.340399e-02	3.288590e-02
31            	1.779959e-01	N/A	5.138878e-03	5.069270e-02	3.032334e-02	3.058850e-02
32            	1.493879e-01	N/A	5.214090e-03	4.343243e-02	2.765237e-02	2.740643e-02
33            	1.687565e-01	N/A	4.458001e-03	4.120894e-02	2.397103e-02	2.451394e-02
34            	1.697537e-01	N/A	4.653150e-03	3.939462e-02	2.116242e-02	2.253916e-02
35            	1.397626e-01	N/A	3.872650e-03	3.914318e-02	2.004822e-02	2.096702e-02
36            	1.829569e-01	N/A	3.562869e-03	4.100720e-02	1.847525e-02	2.077001e-02
37            	1.328861e-01	N/A	3.279856e-03	3.699573e-02	1.764812e-02	2.033638e-02
38            	1.656318e-01	N/A	2.601276e-03	3.388937e-02	1.637712e-02	1.975238e-02
39            	1.504534e-01	N/A	2.902514e-03	3.262881e-02	1.604630e-02	1.893271e-02
40            	1.458047e-01	N/A	2.555837e-03	3.155568e-02	1.513662e-02	1.725955e-02
41            	1.949711e-01	N/A	2.744576e-03	2.944756e-02	1.437932e-02	1.559984e-02
42            	1.253884e-01	N/A	3.033430e-03	2.642278e-02	1.296750e-02	1.429703e-02
43            	1.017402e-01	N/A	2.077881e-03	2.402841e-02	1.221887e-02	1.358500e-02
44            	2.024619e-01	N/A	2.480323e-03	2.170402e-02	1.132702e-02	1.303858e-02
45            	1.192958e-01	N/A	3.216640e-03	1.921773e-02	1.090405e-02	1.236289e-02
46            	1.101427e-01	N/A	1.813750e-03	1.704572e-02	1.032527e-02	1.114177e-02
47            	1.781080e-01	N/A	2.320889e-03	1.616593e-02	9.837197e-03	1.031123e-02
48            	1.376582e-01	N/A	3.096295e-03	1.750575e-02	9.421471e-03	1.028456e-02
49            	9.375050e-02	N/A	2.020659e-03	2.098390e-02	9.450141e-03	1.068652e-02
50            	1.151601e-01	N/A	1.933482e-03	2.243054e-02	9.418064e-03	1.154499e-02
51            	1.845453e-01	N/A	2.531386e-03	2.047463e-02	9.753621e-03	1.259942e-02
52            	1.220250e-01	N/A	3.190630e-03	2.061037e-02	9.640142e-03	1.287136e-02
53            	1.001927e-01	N/A	2.172026e-03	2.122023e-02	1.076000e-02	1.280500e-02
54            	1.650861e-01	N/A	2.340733e-03	2.208835e-02	1.125910e-02	1.289791e-02
55            	1.083259e-01	N/A	2.578590e-03	2.237445e-02	1.157866e-02	1.354124e-02
56            	1.007034e-01	N/A	1.933281e-03	2.189580e-02	1.074689e-02	1.405539e-02
57            	1.653294e-01	N/A	2.344336e-03	1.980963e-02	1.089348e-02	1.367071e-02
58            	1.112635e-01	N/A	2.884895e-03	1.774024e-02	1.083021e-02	1.276662e-02
59            	1.037955e-01	N/A	2.239635e-03	1.923229e-02	1.050429e-02	1.331938e-02
60            	1.526081e-01	N/A	2.437169e-03	2.124483e-02	1.082623e-02	1.444797e-02
61            	1.127768e-01	N/A	2.800953e-03	2.256371e-02	1.099899e-02	1.486258e-02
62            	1.216331e-01	N/A	2.175042e-03	2.205529e-02	1.119987e-02	1.420937e-02
63            	1.446431e-01	N/A	2.364435e-03	1.941545e-02	1.142257e-02	1.393267e-02
64            	1.219169e-01	N/A	2.577731e-03	2.002308e-02	1.036434e-02	1.385544e-02
65            	1.197404e-01	N/A	2.349645e-03	2.095026e-02	1.009061e-02	1.411860e-02
66            	1.278790e-01	N/A	2.368642e-03	2.173762e-02	1.040404e-02	1.482451e-02
67            	1.219503e-01	N/A	2.302625e-03	2.136237e-02	1.100391e-02	1.447128e-02
68            	9.134714e-02	N/A	2.034486e-03	1.957858e-02	1.076236e-02	1.463042e-02
69            	1.341647e-01	N/A	2.189125e-03	1.738074e-02	1.033424e-02	1.400715e-02
70            	1.459740e-01	N/A	3.182612e-03	1.552017e-02	1.070984e-02	1.283224e-02
71            	8.544804e-02	N/A	2.862143e-03	1.651048e-02	1.026249e-02	1.345419e-02
72            	9.456502e-02	N/A	2.043191e-03	1.997796e-02	1.042635e-02	1.436753e-02
73            	1.391974e-01	N/A	2.574692e-03	2.243296e-02	1.140123e-02	1.545895e-02
74            	1.086469e-01	N/A	2.876494e-03	2.128146e-02	1.154586e-02	1.614337e-02
75            	1.136538e-01	N/A	2.607153e-03	2.151089e-02	1.048630e-02	1.578283e-02
76            	7.773296e-02	N/A	2.330328e-03	2.131002e-02	1.055979e-02	1.490342e-02
77            	1.451110e-01	N/A	2.341319e-03	2.118933e-02	1.063011e-02	1.477144e-02
78            	1.494113e-01	N/A	2.959635e-03	2.086516e-02	1.140478e-02	1.475953e-02
79            	7.174588e-02	N/A	2.453473e-03	1.949126e-02	1.096493e-02	1.519413e-02
80            	5.691888e-02	N/A	1.816172e-03	1.784314e-02	1.048354e-02	1.453531e-02
81            	1.106458e-01	N/A	2.158638e-03	1.596687e-02	1.073704e-02	1.297785e-02
82            	1.523003e-01	N/A	2.819329e-03	1.661355e-02	1.112477e-02	1.315386e-02
83            	1.096188e-01	N/A	2.657446e-03	1.921634e-02	1.047016e-02	1.437171e-02
84            	7.342187e-02	N/A	2.284321e-03	2.176068e-02	1.096428e-02	1.560978e-02
85            	7.261669e-02	N/A	1.985658e-03	2.075158e-02	1.118237e-02	1.571645e-02
86            	1.519422e-01	N/A	2.329121e-03	2.102827e-02	1.081055e-02	1.551611e-02
87            	1.143733e-01	N/A	3.099380e-03	2.114774e-02	1.104114e-02	1.529788e-02
88            	8.513758e-02	N/A	2.225781e-03	2.079287e-02	1.072196e-02	1.486377e-02
89            	7.199357e-02	N/A	1.819012e-03	2.071730e-02	1.099133e-02	1.437372e-02
90            	1.285393e-01	N/A	2.049508e-03	1.952485e-02	1.085165e-02	1.503093e-02
91            	1.118793e-01	N/A	2.650495e-03	1.757553e-02	1.080786e-02	1.475265e-02
92            	1.030385e-01	N/A	2.221129e-03	1.529986e-02	1.070987e-02	1.322700e-02
93            	7.791310e-02	N/A	2.236913e-03	1.560217e-02	1.091074e-02	1.248281e-02
94            	1.049766e-01	N/A	2.039804e-03	1.840157e-02	1.014027e-02	1.390069e-02
95            	1.147248e-01	N/A	2.792090e-03	2.111981e-02	1.099381e-02	1.566693e-02
96            	7.651332e-02	N/A	2.549315e-03	2.070905e-02	1.168884e-02	1.644800e-02
97            	1.227401e-01	N/A	2.262918e-03	2.011411e-02	1.137119e-02	1.640729e-02
98            	5.748463e-02	N/A	2.593569e-03	2.090313e-02	1.154690e-02	1.497688e-02
99            	7.026896e-02	N/A	2.143094e-03	2.068091e-02	1.093573e-02	1.512050e-02
100           	1.269152e-01	N/A	2.114709e-03	2.052286e-02	1.164484e-02	1.514472e-02
101           	7.558134e-02	N/A	2.270535e-03	1.929110e-02	1.216236e-02	1.561277e-02
102           	1.175655e-01	N/A	2.238026e-03	1.782974e-02	1.103953e-02	1.545334e-02
