# Residuals   
# Time        	k             	nut           	omega         	p             	Urelx         	Urely         
10000         	N/A	N/A	N/A	N/A	N/A
10001         	5.499083e-05	N/A	7.171907e-06	2.754708e-03	5.602572e-05	5.697659e-05
10002         	5.490277e-05	N/A	7.535217e-06	2.114521e-03	5.560182e-05	5.727535e-05
10003         	5.489058e-05	N/A	7.574915e-06	2.008971e-03	5.705262e-05	5.574592e-05
10004         	5.488776e-05	N/A	7.228942e-06	1.739261e-03	5.671586e-05	5.606582e-05
10005         	5.488354e-05	N/A	7.423550e-06	1.523558e-03	5.560412e-05	5.719365e-05
10006         	5.487956e-05	N/A	7.586889e-06	1.659187e-03	5.583123e-05	5.691584e-05
10007         	5.487452e-05	N/A	7.216608e-06	1.399865e-03	5.625019e-05	5.642786e-05
10008         	5.487046e-05	N/A	7.335687e-06	1.426539e-03	5.619874e-05	5.645396e-05
10009         	5.486587e-05	N/A	7.528009e-06	1.553481e-03	5.593441e-05	5.671774e-05
10010         	5.486145e-05	N/A	7.088416e-06	1.419179e-03	5.614778e-05	5.650834e-05
10011         	5.485704e-05	N/A	7.240628e-06	1.358205e-03	5.597267e-05	5.663121e-05
10012         	5.485375e-05	N/A	7.583956e-06	1.548746e-03	5.587469e-05	5.671976e-05
10013         	5.484693e-05	N/A	7.013500e-06	1.339054e-03	5.559726e-05	5.699155e-05
10014         	5.484240e-05	N/A	7.422903e-06	1.386216e-03	5.697804e-05	5.559139e-05
10015         	5.483783e-05	N/A	7.505872e-06	1.585293e-03	5.615828e-05	5.637104e-05
10016         	5.483393e-05	N/A	6.950520e-06	1.337585e-03	5.602996e-05	5.649260e-05
10017         	5.483024e-05	N/A	7.465473e-06	1.414472e-03	5.579523e-05	5.674138e-05
10018         	5.482454e-05	N/A	7.422503e-06	1.559279e-03	5.563693e-05	5.688364e-05
10019         	5.481992e-05	N/A	6.931736e-06	1.296076e-03	5.643253e-05	5.606613e-05
10020         	5.481597e-05	N/A	7.563683e-06	1.461686e-03	5.607340e-05	5.640332e-05
10021         	5.481109e-05	N/A	7.311536e-06	1.550059e-03	5.581407e-05	5.665157e-05
10022         	5.480669e-05	N/A	6.843096e-06	1.318981e-03	5.588768e-05	5.655785e-05
10023         	5.480182e-05	N/A	7.515656e-06	1.468617e-03	5.613750e-05	5.629881e-05
10024         	5.479808e-05	N/A	7.203784e-06	1.512450e-03	5.601726e-05	5.637653e-05
10025         	5.479242e-05	N/A	6.931989e-06	1.296575e-03	5.571941e-05	5.666749e-05
10026         	5.478785e-05	N/A	7.545879e-06	1.485788e-03	5.633230e-05	5.607209e-05
10027         	5.478344e-05	N/A	6.973130e-06	1.507473e-03	5.603804e-05	5.634631e-05
10028         	5.477957e-05	N/A	7.022608e-06	1.303802e-03	5.578335e-05	5.655070e-05
10029         	5.477436e-05	N/A	7.393235e-06	1.544640e-03	5.567643e-05	5.666860e-05
10030         	5.476976e-05	N/A	7.028442e-06	1.392435e-03	5.616169e-05	5.615893e-05
10031         	5.476599e-05	N/A	7.154245e-06	1.277042e-03	5.592890e-05	5.638307e-05
10032         	5.476107e-05	N/A	7.377522e-06	1.547379e-03	5.568555e-05	5.661082e-05
10033         	5.475675e-05	N/A	7.030848e-06	1.385275e-03	5.598750e-05	5.626417e-05
10034         	5.475249e-05	N/A	7.193487e-06	1.344540e-03	5.592162e-05	5.637124e-05
10035         	5.474726e-05	N/A	7.294117e-06	1.559167e-03	5.573257e-05	5.652848e-05
10036         	5.474278e-05	N/A	7.060061e-06	1.284461e-03	5.610032e-05	5.607575e-05
10037         	5.473861e-05	N/A	7.215493e-06	1.407706e-03	5.595489e-05	5.628950e-05
10038         	5.473398e-05	N/A	7.228578e-06	1.508186e-03	5.571775e-05	5.650028e-05
10039         	5.472898e-05	N/A	7.007425e-06	1.315601e-03	5.573151e-05	5.643238e-05
10040         	5.472444e-05	N/A	7.199787e-06	1.426995e-03	5.623287e-05	5.596752e-05
10041         	5.471943e-05	N/A	7.143732e-06	1.443583e-03	5.596175e-05	5.620341e-05
10042         	5.471576e-05	N/A	6.965010e-06	1.321792e-03	5.581650e-05	5.629904e-05
10043         	5.471091e-05	N/A	7.187452e-06	1.427426e-03	5.549299e-05	5.662219e-05
10044         	5.470639e-05	N/A	7.161968e-06	1.449424e-03	5.601201e-05	5.612124e-05
10045         	5.470245e-05	N/A	6.889599e-06	1.372472e-03	5.580368e-05	5.628317e-05
10046         	5.469742e-05	N/A	7.333604e-06	1.372199e-03	5.558308e-05	5.650221e-05
10047         	5.469274e-05	N/A	7.131553e-06	1.448627e-03	5.597272e-05	5.612146e-05
10048         	5.468907e-05	N/A	6.810223e-06	1.314922e-03	5.574061e-05	5.629125e-05
10049         	5.468320e-05	N/A	7.453304e-06	1.390041e-03	5.551521e-05	5.651584e-05
10050         	5.467824e-05	N/A	6.923043e-06	1.454727e-03	5.634921e-05	5.568091e-05
10051         	5.467347e-05	N/A	7.049366e-06	1.289151e-03	5.607356e-05	5.594559e-05
10052         	5.467010e-05	N/A	7.332099e-06	1.407817e-03	5.578285e-05	5.620585e-05
10053         	5.466618e-05	N/A	6.748871e-06	1.357876e-03	5.544542e-05	5.652291e-05
10054         	5.466081e-05	N/A	7.162933e-06	1.208832e-03	5.535514e-05	5.658776e-05
10055         	5.465614e-05	N/A	7.191590e-06	1.509400e-03	5.619237e-05	5.576001e-05
10056         	5.465157e-05	N/A	6.880979e-06	1.334427e-03	5.589426e-05	5.603375e-05
10057         	5.464783e-05	N/A	7.319045e-06	1.329358e-03	5.561241e-05	5.628207e-05
10058         	5.464324e-05	N/A	7.045249e-06	1.486472e-03	5.540977e-05	5.649611e-05
10059         	5.463889e-05	N/A	6.949378e-06	1.284584e-03	5.577790e-05	5.614759e-05
10060         	5.463444e-05	N/A	7.172454e-06	1.395998e-03	5.558977e-05	5.624586e-05
10061         	5.463019e-05	N/A	7.152815e-06	1.448317e-03	5.572544e-05	5.617081e-05
10062         	5.462475e-05	N/A	6.968152e-06	1.315066e-03	5.554284e-05	5.630057e-05
10063         	5.461973e-05	N/A	7.172797e-06	1.460970e-03	5.608025e-05	5.570073e-05
10064         	5.461535e-05	N/A	7.132700e-06	1.368430e-03	5.587752e-05	5.588918e-05
10065         	5.461128e-05	N/A	6.915553e-06	1.332400e-03	5.574945e-05	5.610527e-05
10066         	5.460743e-05	N/A	7.170757e-06	1.420523e-03	5.550472e-05	5.633176e-05
10067         	5.460241e-05	N/A	7.095467e-06	1.392337e-03	5.531664e-05	5.643309e-05
10068         	5.459772e-05	N/A	6.893994e-06	1.415036e-03	5.598302e-05	5.577400e-05
10069         	5.459358e-05	N/A	7.266538e-06	1.419901e-03	5.575449e-05	5.598290e-05
10070         	5.458971e-05	N/A	7.055551e-06	1.333755e-03	5.550127e-05	5.621566e-05
10071         	5.458434e-05	N/A	6.936628e-06	1.374369e-03	5.529989e-05	5.641066e-05
10072         	5.457994e-05	N/A	7.291742e-06	1.469006e-03	5.598055e-05	5.572608e-05
10073         	5.457598e-05	N/A	6.952798e-06	1.415580e-03	5.563435e-05	5.603352e-05
10074         	5.457113e-05	N/A	6.998223e-06	1.423134e-03	5.541363e-05	5.624635e-05
10075         	5.456743e-05	N/A	7.305147e-06	1.433981e-03	5.561809e-05	5.603889e-05
10076         	5.456175e-05	N/A	6.905503e-06	1.313877e-03	5.541348e-05	5.623088e-05
10077         	5.455712e-05	N/A	7.120865e-06	1.391635e-03	5.601489e-05	5.560327e-05
10078         	5.455332e-05	N/A	7.134447e-06	1.481525e-03	5.573232e-05	5.586941e-05
10079         	5.454877e-05	N/A	6.898086e-06	1.342736e-03	5.543488e-05	5.615796e-05
10080         	5.454556e-05	N/A	7.183752e-06	1.440670e-03	5.535444e-05	5.620562e-05
10081         	5.453967e-05	N/A	6.984246e-06	1.407258e-03	5.503458e-05	5.652043e-05
10082         	5.453493e-05	N/A	7.078299e-06	1.316939e-03	5.623466e-05	5.530137e-05
10083         	5.453059e-05	N/A	7.100982e-06	1.476584e-03	5.569607e-05	5.582205e-05
10084         	5.452648e-05	N/A	6.945700e-06	1.414658e-03	5.552414e-05	5.599636e-05
10085         	5.452263e-05	N/A	7.027833e-06	1.387715e-03	5.537361e-05	5.614042e-05
10086         	5.451743e-05	N/A	7.010380e-06	1.522143e-03	5.518824e-05	5.631027e-05
10087         	5.451248e-05	N/A	7.059295e-06	1.376197e-03	5.584989e-05	5.561165e-05
10088         	5.450831e-05	N/A	6.986886e-06	1.367066e-03	5.567447e-05	5.578460e-05
10089         	5.450455e-05	N/A	7.070416e-06	1.494403e-03	5.543998e-05	5.606312e-05
10090         	5.450010e-05	N/A	7.081290e-06	1.418092e-03	5.524628e-05	5.621143e-05
10091         	5.449589e-05	N/A	6.940749e-06	1.454363e-03	5.542270e-05	5.595567e-05
10092         	5.449122e-05	N/A	7.129445e-06	1.521447e-03	5.553620e-05	5.591760e-05
10093         	5.448608e-05	N/A	7.026778e-06	1.319037e-03	5.539230e-05	5.595218e-05
10094         	5.448132e-05	N/A	6.982277e-06	1.365857e-03	5.581036e-05	5.556231e-05
10095         	5.447772e-05	N/A	7.118687e-06	1.499201e-03	5.556568e-05	5.578800e-05
10096         	5.447336e-05	N/A	6.953666e-06	1.321053e-03	5.526119e-05	5.607508e-05
10097         	5.446824e-05	N/A	6.977133e-06	1.463966e-03	5.519612e-05	5.612051e-05
10098         	5.446348e-05	N/A	7.155470e-06	1.460325e-03	5.579000e-05	5.553768e-05
10099         	5.445954e-05	N/A	6.846378e-06	1.281821e-03	5.556438e-05	5.572227e-05
10100         	5.445608e-05	N/A	6.995234e-06	1.372320e-03	5.527947e-05	5.600017e-05
10101         	5.445087e-05	N/A	7.182808e-06	1.415007e-03	5.503985e-05	5.622249e-05
10102         	5.444651e-05	N/A	6.630317e-06	1.352607e-03	5.568319e-05	5.555294e-05
10103         	5.444254e-05	N/A	7.186608e-06	1.349774e-03	5.541353e-05	5.581341e-05
10104         	5.443773e-05	N/A	7.043515e-06	1.481513e-03	5.518008e-05	5.603691e-05
10105         	5.443255e-05	N/A	6.736800e-06	1.253465e-03	5.536525e-05	5.583179e-05
10106         	5.442831e-05	N/A	7.246667e-06	1.345313e-03	5.578837e-05	5.539208e-05
10107         	5.442363e-05	N/A	6.938185e-06	1.459553e-03	5.552375e-05	5.565008e-05
10108         	5.441949e-05	N/A	6.894823e-06	1.245133e-03	5.542543e-05	5.574182e-05
10109         	5.441659e-05	N/A	7.136537e-06	1.440694e-03	5.515955e-05	5.599701e-05
10110         	5.441099e-05	N/A	6.910914e-06	1.407851e-03	5.488295e-05	5.627459e-05
10111         	5.440666e-05	N/A	6.967368e-06	1.219948e-03	5.573342e-05	5.537341e-05
10112         	5.440268e-05	N/A	6.997625e-06	1.433948e-03	5.542169e-05	5.570364e-05
10113         	5.439778e-05	N/A	7.127915e-06	1.309673e-03	5.517357e-05	5.593010e-05
10114         	5.439377e-05	N/A	6.848931e-06	1.287109e-03	5.536571e-05	5.567191e-05
10115         	5.439024e-05	N/A	7.045592e-06	1.360261e-03	5.517580e-05	5.589394e-05
10116         	5.438427e-05	N/A	7.140210e-06	1.355419e-03	5.492129e-05	5.613624e-05
10117         	5.437915e-05	N/A	6.778074e-06	1.266935e-03	5.596590e-05	5.505518e-05
10118         	5.437497e-05	N/A	7.140808e-06	1.292323e-03	5.562679e-05	5.538855e-05
10119         	5.437099e-05	N/A	7.163317e-06	1.331611e-03	5.531558e-05	5.569409e-05
10120         	5.436671e-05	N/A	6.869188e-06	1.220331e-03	5.512751e-05	5.587323e-05
10121         	5.436344e-05	N/A	7.192209e-06	1.360135e-03	5.509852e-05	5.589633e-05
10122         	5.435792e-05	N/A	7.118317e-06	1.399523e-03	5.491095e-05	5.606794e-05
10123         	5.435337e-05	N/A	6.907819e-06	1.186096e-03	5.565988e-05	5.528592e-05
10124         	5.434922e-05	N/A	7.171731e-06	1.378223e-03	5.536063e-05	5.557953e-05
10125         	5.434601e-05	N/A	7.121712e-06	1.311203e-03	5.513213e-05	5.579041e-05
10126         	5.434035e-05	N/A	6.936328e-06	1.201613e-03	5.488342e-05	5.603269e-05
10127         	5.433580e-05	N/A	7.180500e-06	1.406276e-03	5.559949e-05	5.529544e-05
10128         	5.433211e-05	N/A	7.006397e-06	1.313354e-03	5.529657e-05	5.558117e-05
10129         	5.432771e-05	N/A	6.848022e-06	1.210974e-03	5.504683e-05	5.582418e-05
10130         	5.432391e-05	N/A	7.138137e-06	1.367202e-03	5.511801e-05	5.573221e-05
10131         	5.431893e-05	N/A	6.839585e-06	1.272137e-03	5.494350e-05	5.589138e-05
10132         	5.431383e-05	N/A	6.928835e-06	1.174054e-03	5.563920e-05	5.521281e-05
10133         	5.430983e-05	N/A	7.111268e-06	1.382680e-03	5.541828e-05	5.536935e-05
10134         	5.430565e-05	N/A	6.728151e-06	1.213714e-03	5.511551e-05	5.565347e-05
10135         	5.430225e-05	N/A	6.933314e-06	1.163093e-03	5.497364e-05	5.579574e-05
10136         	5.429680e-05	N/A	7.007005e-06	1.348629e-03	5.476236e-05	5.601220e-05
10137         	5.429174e-05	N/A	6.686318e-06	1.162381e-03	5.566166e-05	5.509279e-05
10138         	5.428772e-05	N/A	6.969116e-06	1.245467e-03	5.541164e-05	5.531351e-05
10139         	5.428443e-05	N/A	7.005588e-06	1.319489e-03	5.510915e-05	5.561459e-05
10140         	5.427929e-05	N/A	6.620989e-06	1.129722e-03	5.483564e-05	5.586393e-05
10141         	5.427537e-05	N/A	7.015620e-06	1.302587e-03	5.519317e-05	5.547145e-05
10142         	5.427142e-05	N/A	6.928370e-06	1.238469e-03	5.491940e-05	5.573378e-05
10143         	5.426649e-05	N/A	6.764544e-06	1.185071e-03	5.513249e-05	5.558976e-05
10144         	5.426272e-05	N/A	7.018980e-06	1.385256e-03	5.514576e-05	5.544304e-05
10145         	5.425767e-05	N/A	6.981516e-06	1.250927e-03	5.492286e-05	5.568568e-05
10146         	5.425282e-05	N/A	6.735652e-06	1.242801e-03	5.553218e-05	5.514725e-05
10147         	5.424943e-05	N/A	7.092236e-06	1.357282e-03	5.523891e-05	5.536026e-05
10148         	5.424503e-05	N/A	6.790723e-06	1.160778e-03	5.492486e-05	5.567179e-05
10149         	5.424024e-05	N/A	6.895988e-06	1.250695e-03	5.488157e-05	5.568022e-05
10150         	5.423568e-05	N/A	7.081696e-06	1.379957e-03	5.526087e-05	5.530156e-05
10151         	5.423176e-05	N/A	6.675304e-06	1.217223e-03	5.506763e-05	5.548199e-05
10152         	5.422739e-05	N/A	6.925745e-06	1.251252e-03	5.487761e-05	5.565771e-05
10153         	5.422329e-05	N/A	6.949783e-06	1.321194e-03	5.508777e-05	5.542155e-05
10154         	5.421867e-05	N/A	6.551996e-06	1.161936e-03	5.490744e-05	5.558571e-05
10155         	5.421400e-05	N/A	7.022000e-06	1.225885e-03	5.526070e-05	5.522966e-05
10156         	5.421000e-05	N/A	6.775610e-06	1.293522e-03	5.516584e-05	5.529734e-05
10157         	5.420590e-05	N/A	6.694884e-06	1.145487e-03	5.491496e-05	5.553720e-05
10158         	5.420110e-05	N/A	6.977993e-06	1.234114e-03	5.478029e-05	5.565846e-05
10159         	5.419671e-05	N/A	6.681757e-06	1.251001e-03	5.525015e-05	5.517526e-05
10160         	5.419276e-05	N/A	6.820558e-06	1.104064e-03	5.503013e-05	5.536981e-05
10161         	5.418858e-05	N/A	6.976277e-06	1.269845e-03	5.482190e-05	5.556122e-05
10162         	5.418470e-05	N/A	6.711067e-06	1.186741e-03	5.495886e-05	5.543480e-05
10163         	5.417957e-05	N/A	6.985571e-06	1.128554e-03	5.476139e-05	5.561406e-05
10164         	5.417461e-05	N/A	6.834783e-06	1.312184e-03	5.533402e-05	5.497104e-05
10165         	5.417042e-05	N/A	6.838647e-06	1.140677e-03	5.519040e-05	5.511058e-05
10166         	5.416670e-05	N/A	6.930926e-06	1.205717e-03	5.501546e-05	5.536181e-05
10167         	5.416330e-05	N/A	6.804872e-06	1.254446e-03	5.476839e-05	5.558730e-05
10168         	5.415784e-05	N/A	6.989604e-06	1.124742e-03	5.456850e-05	5.575364e-05
10169         	5.415342e-05	N/A	6.892584e-06	1.243181e-03	5.523011e-05	5.497365e-05
10170         	5.414979e-05	N/A	6.831509e-06	1.206451e-03	5.507951e-05	5.519020e-05
10171         	5.414547e-05	N/A	7.019926e-06	1.160706e-03	5.477499e-05	5.549354e-05
10172         	5.414169e-05	N/A	6.844839e-06	1.259742e-03	5.478389e-05	5.546418e-05
10173         	5.413702e-05	N/A	6.804735e-06	1.127917e-03	5.493480e-05	5.530136e-05
10174         	5.413354e-05	N/A	6.905055e-06	1.187654e-03	5.487394e-05	5.531754e-05
10175         	5.412799e-05	N/A	6.914733e-06	1.149499e-03	5.457999e-05	5.561008e-05
10176         	5.412327e-05	N/A	6.709088e-06	1.203601e-03	5.543086e-05	5.475405e-05
10177         	5.411900e-05	N/A	6.948577e-06	1.144613e-03	5.514214e-05	5.502540e-05
10178         	5.411546e-05	N/A	6.875469e-06	1.156407e-03	5.485238e-05	5.529236e-05
10179         	5.411209e-05	N/A	6.699389e-06	1.190770e-03	5.458772e-05	5.554361e-05
10180         	5.410654e-05	N/A	7.033087e-06	1.124433e-03	5.444155e-05	5.567892e-05
10181         	5.410230e-05	N/A	6.770282e-06	1.171026e-03	5.532955e-05	5.476376e-05
10182         	5.409771e-05	N/A	6.794160e-06	1.177203e-03	5.503446e-05	5.506217e-05
10183         	5.409428e-05	N/A	6.981296e-06	1.131985e-03	5.486405e-05	5.520444e-05
10184         	5.409110e-05	N/A	6.784789e-06	1.199243e-03	5.455427e-05	5.551403e-05
10185         	5.408514e-05	N/A	6.821612e-06	1.160666e-03	5.437610e-05	5.567292e-05
10186         	5.408103e-05	N/A	6.986787e-06	1.179049e-03	5.533377e-05	5.469393e-05
10187         	5.407651e-05	N/A	6.745150e-06	1.200716e-03	5.499004e-05	5.504586e-05
10188         	5.407301e-05	N/A	6.888680e-06	1.151519e-03	5.481093e-05	5.518853e-05
10189         	5.406847e-05	N/A	6.944705e-06	1.200469e-03	5.450204e-05	5.549572e-05
10190         	5.406488e-05	N/A	6.828300e-06	1.190269e-03	5.483694e-05	5.516063e-05
10191         	5.405980e-05	N/A	6.837323e-06	1.165280e-03	5.462269e-05	5.533024e-05
10192         	5.405567e-05	N/A	6.890672e-06	1.195551e-03	5.498196e-05	5.498500e-05
10193         	5.405175e-05	N/A	6.763183e-06	1.165028e-03	5.470946e-05	5.524323e-05
