# y+ ()       
# Time        	patch         	min           	max           	average       
30000         	outerWall	2.257176e+01	2.268110e+01	2.262296e+01
30000         	stirrerWall	4.656365e-03	3.210943e+01	4.048418e+00
31000         	outerWall	2.236656e+01	2.247667e+01	2.241813e+01
31000         	stirrerWall	4.828867e-03	3.259346e+01	4.176196e+00
32000         	outerWall	2.216548e+01	2.227631e+01	2.221740e+01
32000         	stirrerWall	5.020225e-03	3.306578e+01	4.258776e+00
33000         	outerWall	2.196854e+01	2.208008e+01	2.202081e+01
33000         	stirrerWall	5.222385e-03	3.351806e+01	4.363010e+00
34000         	outerWall	2.177583e+01	2.188804e+01	2.182842e+01
34000         	stirrerWall	5.424890e-03	3.395122e+01	4.482990e+00
35000         	outerWall	2.158740e+01	2.170027e+01	2.164030e+01
35000         	stirrerWall	5.627098e-03	3.437239e+01	4.577561e+00
36000         	outerWall	2.140333e+01	2.151684e+01	2.145655e+01
36000         	stirrerWall	5.831382e-03	3.478589e+01	4.682359e+00
37000         	outerWall	2.122371e+01	2.133783e+01	2.127722e+01
37000         	stirrerWall	6.008322e-03	3.518862e+01	4.773659e+00
38000         	outerWall	2.104862e+01	2.116332e+01	2.110238e+01
38000         	stirrerWall	6.121658e-03	3.556394e+01	4.934877e+00
39000         	outerWall	2.087809e+01	2.099336e+01	2.093207e+01
39000         	stirrerWall	6.187933e-03	3.591430e+01	5.005103e+00
40000         	outerWall	2.071200e+01	2.082781e+01	2.076625e+01
40000         	stirrerWall	6.291915e-03	3.626964e+01	5.126434e+00
41000         	outerWall	2.055055e+01	2.066689e+01	2.060500e+01
41000         	stirrerWall	6.401192e-03	3.661415e+01	5.203718e+00
42000         	outerWall	2.039358e+01	2.051043e+01	2.044826e+01
42000         	stirrerWall	6.483761e-03	3.694720e+01	5.315044e+00
43000         	outerWall	2.024113e+01	2.035849e+01	2.029600e+01
43000         	stirrerWall	6.583823e-03	3.729375e+01	5.386358e+00
44000         	outerWall	2.009308e+01	2.021093e+01	2.014814e+01
44000         	stirrerWall	6.659596e-03	3.764793e+01	5.443515e+00
45000         	outerWall	1.994941e+01	2.006773e+01	2.000465e+01
45000         	stirrerWall	6.742228e-03	3.799094e+01	5.483764e+00
46000         	outerWall	1.980995e+01	1.992873e+01	1.986537e+01
46000         	stirrerWall	6.850884e-03	3.832768e+01	5.556056e+00
47000         	outerWall	1.967468e+01	1.979390e+01	1.973025e+01
47000         	stirrerWall	6.894311e-03	3.865750e+01	5.618892e+00
48000         	outerWall	1.954346e+01	1.966310e+01	1.959917e+01
48000         	stirrerWall	6.963347e-03	3.898308e+01	5.679500e+00
49000         	outerWall	1.941610e+01	1.953614e+01	1.947197e+01
49000         	stirrerWall	7.031525e-03	3.929944e+01	5.734021e+00
50000         	outerWall	1.929258e+01	1.941301e+01	1.934858e+01
50000         	stirrerWall	7.120761e-03	3.960724e+01	5.797737e+00
51000         	outerWall	1.917274e+01	1.929355e+01	1.922888e+01
51000         	stirrerWall	7.179782e-03	3.990629e+01	5.853526e+00
52000         	outerWall	1.905649e+01	1.917765e+01	1.911274e+01
52000         	stirrerWall	7.213659e-03	4.019831e+01	5.881215e+00
53000         	outerWall	1.894366e+01	1.906517e+01	1.900003e+01
53000         	stirrerWall	7.259424e-03	4.048457e+01	5.952815e+00
54000         	outerWall	1.883414e+01	1.895598e+01	1.889063e+01
54000         	stirrerWall	7.354747e-03	4.076079e+01	6.020732e+00
55000         	outerWall	1.872788e+01	1.885004e+01	1.878448e+01
55000         	stirrerWall	7.449166e-03	4.102788e+01	6.048203e+00
56000         	outerWall	1.862473e+01	1.874718e+01	1.868144e+01
56000         	stirrerWall	7.515741e-03	4.128694e+01	6.085401e+00
57000         	outerWall	1.852463e+01	1.864738e+01	1.858143e+01
57000         	stirrerWall	7.573524e-03	4.154247e+01	6.148193e+00
58000         	outerWall	1.843089e+01	1.855389e+01	1.848778e+01
58000         	stirrerWall	7.596312e-03	4.178907e+01	6.185817e+00
59000         	outerWall	1.834216e+01	1.846540e+01	1.839908e+01
59000         	stirrerWall	7.574565e-03	4.202460e+01	6.196416e+00
60000         	outerWall	1.825830e+01	1.838178e+01	1.831532e+01
